feature,importance
NDVI,0.4716911285939859
mean_temp_c,0.4057818539529655
slope_deg,0.07546448737393203
annual_rain_mm,0.01891482541655108
soil_ph,0.007381429413487873
NDMI,0.004805298252456272
NDBI,0.0046118260188156525
SAVI,0.004029226203126699
elevation_m,0.0031531435053074952
BSI,0.001506356081725968
SWIR2,0.0005923666415337709
EVI,0.00045283287462948794
NDWI,0.00037424189929346336
SWIR1,0.0003047555843627831
RED,0.0002786837821409228
BLUE,0.00018057480143123544
GREEN,0.00010673990627711094
RE1,8.717339507381969e-05
NIR,8.015233458308898e-05
RE2,7.454389359748347e-05
RE3,6.876363558294242e-05
soil_org_carbon,5.959643913943383e-05
